Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Tue,29/03/2016,1639,1741,TLC,Secret Eaters,Docu,0.2,59191,1.1
Wed,23/03/2016,1745,1837,TLC,One Born Every Minute,Docu,0.2,52615,0.7
Tue,15/03/2016,2152,2245,TLC,Monsters Inside Me,Docu,0.2,52615,1.2
Wed,30/03/2016,2152,2242,TLC,I'm Married to a,Real,0.2,51095,1
Mon,28/03/2016,1717,1743,TLC,Kitchen Boss,Maga,0.1,50157,0.8
Mon,07/03/2016,2151,2244,TLC,Extreme Cougar Wives,Maga,0.1,49805,1.1
Sat,05/03/2016,2000,2053,TLC,I Still Didn't Know I Was Pregnan,Real,0.1,49599,0.6
Thur,24/03/2016,2028,2054,TLC,Love at First Swipe,Real,0.1,48345,0.4
Day Date From To Station ProgrammeTitle Genre AR Viewers Share,"","","","","","","","",""
Mon,28/03/2016,1800,1830,VUZU,V-Entertainment,Vari,0.2,72321,0.9
Sun,13/03/2016,2100,2200,VUZU,The X Factor,Real,0.2,70855,1
Mon,07/03/2016,1929,2024,VUZU,Braxton Family Values,Real,0.2,57417,0.5
Wed,30/03/2016,1833,1835,VUZU,Vuzu Activity,Maga,0.1,44624,0.3
Thur,03/03/2016,1931,2024,VUZU,America's Next Top Model,Real,0.1,40805,0.4
Fri,25/03/2016,2031,2206,VUZU,The Bachelorette,Real,0.1,33118,0.4
Sat,12/03/2016,1701,1754,VUZU,America's Next Top Model-R,Real,0.1,32154,0.5
Fri,04/03/2016,1832,1857,VUZU,The Middle,Sitc,0.1,29540,0.4
Fri,25/03/2016,1932,2027,VUZU,The Real Housewives of Atlanta,Real,0.1,29161,0.3
Sat,12/03/2016,1756,1758,VUZU,V-Entertainment Gossip,Vari,0.1,29031,0.5
Wed,30/03/2016,1932,1958,VUZU,The Prancing Elites Project,Real,0.1,27279,0.2
Sun,20/03/2016,1758,1800,VUZU,Epk:Anamolisa,Docu,0.1,26080,0.3
Sun,06/03/2016,1757,1800,VUZU,Epk:Hail Caesar,Docu,0.1,24110,0.4
Sat,12/03/2016,2101,2151,VUZU,Eye Candy,Dram,0.1,23311,0.3
Wed,30/03/2016,1835,1900,VUZU,Young & Hungry,Sitc,0.1,21451,0.2
Tue,22/03/2016,1930,2025,VUZU,Too Young to Marry(Reality),Real,0.1,20082,0.2
Sat,05/03/2016,2100,2154,VUZU,The Flash (Drama),Dram,0.1,19504,0.3
Sun,06/03/2016,1700,1755,VUZU,The Real Housewives of New Jersey -R,Real,0.1,19535,0.3
Tue,08/03/2016,1930,2026,VUZU,The Real Housewives of Atlanta:Kandi's,Real,0.1,19000,0.2
Thur,17/03/2016,1901,1925,VUZU,Mr. Robinson,Sitc,0.1,18881,0.2
